speaker,file,start_s,end_s
baji,path/to/Baji Talking.wav,17.5,19.3
baji,path/to/Baji Talking.wav,25.55,28.25
baji,path/to/Baji Talking.wav,49.1,50.3
baji,path/to/Baji Talking.wav,54.6,56.85
baji,path/to/Baji Talking.wav,72,73.9
baji,path/to/Baji Talking.wav,75.3,77
baji,path/to/Baji Talking.wav,97,100.1
baji,path/to/Baji Talking.wav,212.8,218.7
baji,path/to/Baji Talking.wav,235.25,236.4
baji,path/to/Baji Talking.wav,293.1,295
baji,path/to/Baji Talking.wav,475,476.6
baji,path/to/Baji Talking.wav,478,480.5
baji,path/to/Baji Talking.wav,504.3,506,3
baji,path/to/Baji Talking.wav,553,556.6
baji,path/to/Baji Talking.wav,740,743.9
baji,path/to/Baji Talking.wav,97,100.1
lowji,path/to/Lowji Talking.wav,423.3,424.8
lowji,path/to/Lowji Talking.wav,434.8,436.4
lowji,path/to/Lowji Talking.wav,445,446.7
lowji,path/to/Lowji Talking.wav,530.1,533.4
lowji,path/to/Lowji Talking.wav,687,690.1
lowji,path/to/Lowji Talking.wav,690.6,692.1
lowji,path/to/Lowji Talking.wav,702.8,704.1
lowji,path/to/Lowji Talking.wav,751.6,752.5
lowji,path/to/Lowji Talking.wav,753.2,754.5
lowji,path/to/Lowji Talking.wav,802.9,804.5
lowji,path/to/Lowji Talking.wav,1133.3,1134.2
lowji,path/to/Lowji Talking.wav,2199.7,2202.4
lowji,path/to/Lowji Talking.wav,2215.7,2217.1
lowji,path/to/Lowji Talking.wav,2228.2,2229.9
lowji,path/to/Lowji Talking.wav,2352.8,2353.9
lowji,path/to/Lowji Talking.wav,2392.1,2394.5
